Model_ID,Cell_line_Name,COSMIC_ID,TCGA_Classfication,Tissue,Tissue_subtype
SIDM00332,MFM-223,910948,BRCA,breast,breast
SIDM00333,MFE-319,1240174,UCEC,urogenital_system,endometrium
SIDM00334,MFE-296,908130,UCEC,urogenital_system,endometrium
SIDM00335,MFE-280,908129,UCEC,urogenital_system,endometrium
SIDM00336,MEL-JUSO,908125,SKCM,skin,melanoma
SIDM00337,MEL-HO,908124,SKCM,skin,melanoma
SIDM00338,ME-1,1330942,LAML,blood,acute_myeloid_leukaemia
SIDM00339,LXF-289,753592,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00340,LP-1,907791,MM,blood,myeloma
SIDM00341,LOU-NH91,1298226,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma
SIDM00342,LOUCY,907789,ALL,blood,lymphoblastic_T_cell_leukaemia
SIDM00343,LN-405,910694,GBM,nervous_system,glioma
SIDM00344,LCLC-97TM1,946361,UNCLASSIFIED,lung,lung_NSCLC_large_cell
SIDM00345,LCLC-103H,753586,UNCLASSIFIED,lung,lung_NSCLC_large_cell
SIDM00346,LAMA-84,907783,LCML,blood,chronic_myeloid_leukaemia
SIDM00347,TE-5,735784,ESCA,aero_digestive_tract,oesophagus
SIDM00348,TE-11,946354,ESCA,aero_digestive_tract,oesophagus
SIDM00349,TE-10,753622,ESCA,aero_digestive_tract,oesophagus
SIDM00350,SAT,1299050,HNSC,aero_digestive_tract,head_and_neck
SIDM00352,RMG-I,909699,UNCLASSIFIED,urogenital_system,ovary
SIDM00353,RKN,1298539,UNCLASSIFIED,urogenital_system,ovary
SIDM00354,RERF-LC-Sq1,1298538,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma
SIDM00355,RERF-LC-MS,910931,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00356,RERF-LC-KJ,1298537,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00358,RERF-GC-1B,1240209,STAD,digestive_system,stomach
SIDM00359,RCM-1,909263,COREAD,digestive_system,large_intestine
SIDM00360,QGP-1,1298534,UNCLASSIFIED,pancreas,pancreas
SIDM00362,P32-ISH,1330987,UNCLASSIFIED,blood,Burkitt_lymphoma
SIDM00363,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia
SIDM00364,P30-OHK,909252,ALL,blood,lymphoblastic_leukemia
SIDM00365,SBC-1,713885,SCLC,lung,lung_small_cell_carcinoma
SIDM00367,SBC-3,753610,SCLC,lung,lung_small_cell_carcinoma
SIDM00368,SBC-5,713880,SCLC,lung,lung_small_cell_carcinoma
SIDM00369,TE-1,753621,ESCA,aero_digestive_tract,oesophagus
SIDM00371,SUIT-2,1240219,PAAD,pancreas,pancreas
